epoch,accuracy,loss,val_accuracy,val_loss
0,0.638527512550354,0.9920912981033325,0.6455331444740295,0.941157877445221
1,0.7940769195556641,0.5836629867553711,0.6887608170509338,0.7839904427528381
2,0.849155843257904,0.4192008078098297,0.6858789920806885,0.7946470379829407
3,0.8809853196144104,0.33023005723953247,0.6945244669914246,0.8406442403793335
4,0.9064489603042603,0.2687542736530304,0.6772334575653076,0.8733300566673279
5,0.9285911917686462,0.2194337248802185,0.6858789920806885,0.9213200807571411
6,0.9415997862815857,0.18067824840545654,0.6945244669914246,0.9799416661262512
7,0.9515637755393982,0.15558113157749176,0.6714697480201721,1.037240743637085
8,0.9598671197891235,0.13652418553829193,0.6858789920806885,1.0594356060028076
9,0.9640188217163086,0.1242055892944336,0.6945244669914246,1.1548614501953125
10,0.9654027223587036,0.11367550492286682,0.6887608170509338,1.1751478910446167
11,0.9684472680091858,0.1009383350610733,0.6858789920806885,1.1796023845672607
12,0.9692776203155518,0.09836511313915253,0.6974063515663147,1.2414826154708862
13,0.971491813659668,0.08562270551919937,0.6829971075057983,1.308000087738037
14,0.9725989699363708,0.08403061330318451,0.6772334575653076,1.3234705924987793
15,0.973706066608429,0.0813077986240387,0.6743515729904175,1.337249517440796
16,0.9767506122589111,0.07363984733819962,0.6829971075057983,1.3608949184417725
17,0.974259614944458,0.07476644217967987,0.680115282535553,1.4998254776000977
18,0.975089967250824,0.07191655039787292,0.680115282535553,1.553389072418213
19,0.9759202599525452,0.07287539541721344,0.680115282535553,1.4073708057403564
20,0.977027416229248,0.06478440016508102,0.6743515729904175,1.5121897459030151
21,0.975643515586853,0.0716400220990181,0.6714697480201721,1.5143766403198242
22,0.9739828109741211,0.06908167898654938,0.6887608170509338,1.5299042463302612
23,0.9761970639228821,0.06103759631514549,0.6657060384750366,1.5653926134109497
24,0.9797951579093933,0.05254438519477844,0.6714697480201721,1.572378158569336
